Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Fingerprint1,Fingerprint2
N/A,Avenue of the Saints / 23002387,0.969,yes,315,no,190554990078153338,-6881701813776531603
N/A,Columbia Street / 721207,0.059,yes,9,yes,195493441749211971,-6922115444403865635
N/A,I 35 Bus / 10149752,0.132,yes,258,no,190049212433518999,2322296826202430783
N/A,I 35 Bus / 16528800,0.612,yes,128,no,190054709988512149,6933978446610570513
N/A,I 35 Bus / 21886515,0.223,yes,4,no,190060757296697757,-6901171967639937751
N/A,I 35 Bus / 5000139,0.313,yes,3,no,190060207533019549,2322120904375541007
N/A,I 35 Bus / 5811470,0.094,yes,262,no,190044264630669717,6933982844608847163
N/A,I 35 Business / 12407431,0.334,yes,276,no,189981042708402550,2322270437680094509
N/A,I 35 Business / 13492173,0.306,yes,349,no,190533549698929268,6954099511215014101
N/A,I 35 Business / 14615438,0.374,yes,345,no,190062406634918302,2322868572299206165
N/A,I 35 Business / 17179504,0.340,yes,167,no,190530800883159666,-6881262009291095993
N/A,I 35 Business / 17208803,0.006,yes,344,no,190065155408744863,-6900595823532302827
N/A,I 35 Business / 18830139,0.391,yes,206,no,190059657855848859,6934462231735180863
N/A,I 35 Business / 20483182,0.242,yes,333,no,189968948076826997,-6901119191417348831
N/A,I 35 Business / 23565801,0.301,yes,194,no,190531350674625138,-2269351690487447307
N/A,I 35 Business / 4289156,0.263,yes,17,no,190532999907463796,2342048454925107309
N/A,I 35 Business;US 18 / 19380303,0.016,yes,360,no,190535198961128053,6954020346377814229
N/A,I 380 / 265776,0.440,yes,295,no,192830428036028038,-6893141124111652031
N/A,I 74 / 266979,0.774,yes,136,no,196755132990446977,6926752481755009087
N/A,I 74 / 885704,1.020,yes,285,no,196750734946033014,-6908309971573665727
N/A,I 74 D;US 6 D / 16598358,0.012,yes,320,no,196774924082830730,-6909268745656463701
N/A,I 80 / 16272461,0.018,yes,337,no,189612155696402641,6926734862301794393
N/A,I 80 / 20100928,0.630,yes,353,no,189607207903514831,2315202775500197979
N/A,I 80 / 21394320,0.693,yes,235,no,189597862042095812,-2296689951134183315
N/A,I 80 / 22031113,0.285,yes,102,no,189591264968659141,6926677687638429751
N/A,I 80 / 272240,0.756,yes,55,no,189611056174289098,-6908402357817569191
N/A,I 80 Local / 727280,0.724,yes,270,no,184945277834709120,-6914709174260595449
N/A,I 80 Local;US 6 / 18268429,0.310,yes,96,no,185055228993292470,-6914713571919133447
N/A,I 80 Local;US 6 / 20628392,0.313,yes,72,no,185085465562532036,6920322493243720965
N/A,I 80 Local;US 6 / 726697,0.445,yes,87,no,185070072396597436,6920326891244094711
N/A,IA 27 / 11211708,0.276,yes,279,no,192544555031680516,6942035677321112453
N/A,IA 27 / 14163328,0.288,yes,81,no,192544005274293764,2330327668661169027
N/A,IA 27 / 23933279,0.113,yes,318,no,192536308696045058,-2281314369345148023
N/A,IA 27;IA 58 / 16332156,0.009,yes,85,no,192537957959816707,-2281358349812356225
N/A,IA 5 / 13846918,0.489,yes,117,no,191148172820173703,-6913521678059305195
N/A,IA 5 / 20707064,0.319,yes,248,no,191145424043201415,-2301831261610571987
N/A,IA 5 / 272615,1.037,yes,297,no,190156963535475135,-2298110517980426837
N/A,IA 5 / 3955859,0.525,yes,97,no,190156963531280836,6925257120792186295
N/A,IA 58 / 13441594,0.340,yes,261,no,192529161868891644,-6893026776059991157
N/A,IA 58 / 18663428,0.390,yes,79,no,192497276030637550,6942000492779154309
N/A,IA 58 / 20693258,0.333,yes,99,no,192530261378946557,-6893031174102307969
N/A,IA 58 / 2230277,0.361,yes,292,no,192497276032734702,6942062065428212615
N/A,IA 58 / 24220411,0.009,yes,263,no,192490129209775598,6942062065371589525
N/A,IA 60 BUS / 14464859,0.398,yes,350,no,185130549643921627,2343130353756029457
N/A,IA 60 BUS / 14888889,0.403,yes,191,no,185127800864852185,-2268652421705088449
N/A,IA 60 BUS / 20671105,0.314,yes,51,no,185017299882821797,-6880848613932515009
N/A,IA 60 BUS / 21487155,0.320,yes,218,no,185016200373291173,-6880839817845784247
N/A,IA 60 BUS / 21487156,0.050,yes,237,no,185022247690913961,-2269092226760949429
N/A,IA 92 / 21376366,0.303,yes,351,no,195276289183668960,-2302169895452801435
N/A,IA 92 / 23911195,0.313,yes,191,no,195272990648261343,6921127374598702727
N/A,John V. Atanasoff and Clifford E. Berry Memorial Bridge / 17921070,0.316,yes,311,no,190058008525492633,-6901066414523671255
N/A,Juhl Drive Northeast / 11729215,0.066,yes,177,no,194246048324606220,-6900996029815972521
N/A,Juhl Drive Northeast / 7245398,0.010,yes,179,no,194245498569840908,-6900996029818069663
N/A,motorway_link / 10150104,0.454,yes,202,no,190058557835137435,6930182932473583277
N/A,motorway_link / 10150234,0.437,yes,90,no,189937061382934881,2315053243193888859
N/A,motorway_link / 10150723,0.030,yes,153,no,196661124805516630,-2296104984035454647
N/A,motorway_link / 10150978,0.461,yes,37,no,190047562472968598,6928115850581906177
N/A,motorway_link / 10180091,0.320,yes,286,no,191280115702387653,2322327617238211905
N/A,motorway_link / 10180094,0.373,yes,167,no,192520366157551098,6945272639440040227
N/A,motorway_link / 10180159,0.389,yes,114,no,190161913298112967,-2281635435779183885
N/A,motorway_link / 10181281,0.348,yes,106,no,190864502603993863,-2270094959053881479
N/A,motorway_link / 10204892,0.013,yes,341,no,183895246748337833,-2281872954223482219
N/A,motorway_link / 10230242,0.351,yes,307,no,190134974345204156,6934044417624907081
N/A,motorway_link / 10241408,0.010,yes,311,no,185083266513586374,2308429766598853787
N/A,motorway_link / 10243620,0.470,yes,35,no,184666555267237895,2339088547257006909
N/A,motorway_link / 10243706,0.336,yes,269,no,185639619983919551,-2298334835633025705
N/A,motorway_link / 10243805,0.043,yes,342,no,184274577617143638,2324425458674835711
N/A,motorway_link / 10243806,0.312,yes,298,no,184267980549998417,-2287212181243027197
N/A,motorway_link / 10244058,0.037,yes,105,no,184591236279125990,2318664018955343557
N/A,motorway_link / 10249389,0.314,yes,349,no,184732526037256230,-6883584199961330645
N/A,motorway_link / 10252340,0.154,yes,245,no,189889232627650894,-6908331988003844001
N/A,motorway_link / 10275613,0.290,yes,289,no,183961767222265541,6941683800861584097
N/A,motorway_link / 10295236,0.170,yes,110,no,194465400211200367,2316640955239764777
N/A,motorway_link / 10295237,0.047,yes,79,no,194469798256662898,6928313779533910827
N/A,motorway_link / 10295899,0.103,yes,175,no,194301573008021797,-2294789977129610345
N/A,motorway_link / 10345230,0.372,yes,63,no,189332881532342351,6941719005729139465
N/A,motorway_link / 10354076,0.231,yes,8,no,194248247332657421,-6901163155570811601
N/A,motorway_link / 10360914,0.050,yes,272,no,194322463718463791,2316794886309811061
N/A,motorway_link / 10361064,0.007,yes,62,no,194509380530035076,6927095520797135103
N/A,motorway_link / 10384469,0.385,yes,100,no,195246601438583504,6913360424386689171
N/A,motorway_link / 10387006,0.319,yes,338,no,194242199863515402,-2290708590177019197
N/A,motorway_link / 10401248,0.455,yes,285,no,193103656663996161,2330081380204030735
N/A,motorway_link / 10426620,0.295,yes,89,no,196411537362083043,6941468344053672581
N/A,motorway_link / 10426621,0.017,yes,217,no,196412087114226917,-6893598507321513339
N/A,motorway_link / 10426622,0.007,yes,200,no,196411537358413029,-6893602905370121597
