Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Fingerprint1,Fingerprint2
N/A,200th Avenue / 264973,0.566,yes,49,no,195261447712889558,6937360564256514917
N/A,Avenue of the Saints / 10351430,0.911,yes,358,no,194238901221677321,6931841011955013891
N/A,Avenue of the Saints / 10482941,3.289,yes,90,no,190654495886234251,-6881816162409103479
N/A,Avenue of the Saints / 10482942,0.724,yes,90,no,190741907060642508,6953294669552828297
N/A,Avenue of the Saints / 10858929,0.602,yes,174,no,194247147837282573,2322450773835783485
N/A,Avenue of the Saints / 10917858,0.797,yes,201,no,192520915614520827,2330943395103517927
N/A,Avenue of the Saints / 11327550,1.786,yes,359,no,194578098670885273,2304357211747384497
N/A,Avenue of the Saints / 11393701,0.151,yes,3,no,194247147845671181,6934110403982007687
N/A,Avenue of the Saints / 11729220,3.486,yes,180,no,190542896230388342,6960230388089244233
N/A,Avenue of the Saints / 12360920,0.727,yes,180,no,194301023302539557,-6905974618256829389
N/A,Avenue of the Saints / 13039995,0.679,yes,359,no,194301573058877733,-2294292997873855433
N/A,Avenue of the Saints / 13275819,0.549,yes,149,no,191924431801636074,-6881824953909362891
N/A,Avenue of the Saints / 1376585,3.365,yes,179,no,194513228753623425,6926954783329750845
N/A,Avenue of the Saints / 1377480,0.447,yes,208,no,194567103508470172,-2307922542982071171
N/A,Avenue of the Saints / 1377935,0.519,yes,66,no,192565995640018444,2331422782332611985
N/A,Avenue of the Saints / 1390341,3.513,yes,359,no,194513778509961601,-2296395263290372297
N/A,Avenue of the Saints / 1390478,2.938,yes,350,no,192559398695032326,-6890511093308838217
N/A,Avenue of the Saints / 1390501,1.446,yes,109,no,192580838910678537,-2281349553440412833
N/A,Avenue of the Saints / 1390665,0.407,yes,246,no,192564896128390668,-6891940458435433077
N/A,Avenue of the Saints / 14216585,0.768,yes,92,no,192751263192536669,-6893233483363112153
N/A,Avenue of the Saints / 14366216,0.805,yes,165,no,192538508029154818,2333058855517302783
N/A,Avenue of the Saints / 14435773,0.698,yes,171,no,192576441071261204,-6891241169015001501
N/A,Avenue of the Saints / 14811946,0.778,yes,272,no,192752362704688733,-2281543066885018839
N/A,Avenue of the Saints / 14867559,0.738,yes,178,no,192338946943964585,-6888013003786013669
N/A,Avenue of the Saints / 15501949,0.859,yes,346,no,192539057786017282,6944758068086321151
N/A,Avenue of the Saints / 15815593,1.224,yes,119,no,194525871894780293,2304541929593896287
N/A,Avenue of the Saints / 16172645,1.028,yes,187,no,194486288709671288,-2313820323670134197
N/A,Avenue of the Saints / 16198180,3.168,yes,270,no,190654495886758540,-6881807366324469875
N/A,Avenue of the Saints / 16568141,0.733,yes,352,no,192577540583413268,-2279550752536908189
N/A,Avenue of the Saints / 16788889,0.973,yes,27,no,194555558619077013,2303561165280640085
N/A,Avenue of the Saints / 17195289,0.859,yes,145,no,192518716896925171,-2278037824763580125
N/A,Avenue of the Saints / 17300029,1.644,yes,351,no,194479691703867764,-2312949510465129819
N/A,Avenue of the Saints / 17347995,1.643,yes,309,no,194522573361994115,6916307112877358429
N/A,Avenue of the Saints / 17507450,0.080,yes,185,no,192540157096318469,2331268850578894131
N/A,Avenue of the Saints / 18943745,0.544,yes,330,no,191924981557974250,-2270138935477780681
N/A,Avenue of the Saints / 18946280,1.506,yes,313,no,194434613801212248,2316060413054161325
N/A,Avenue of the Saints / 18946281,0.659,yes,326,no,194464850346334572,-2295893886149586579
N/A,Avenue of the Saints / 18946283,0.937,yes,320,no,194485191292049780,2315651394881720599
N/A,Avenue of the Saints / 19214778,0.666,yes,357,no,192339496699254185,-2276340179496061925
N/A,Avenue of the Saints / 19214779,1.369,yes,3,no,192340596179948969,-2276859148984372197
N/A,Avenue of the Saints / 19422093,0.746,yes,79,no,191045922039878486,6953413417964158929
N/A,Avenue of the Saints / 19622745,0.435,yes,181,no,194502783450306945,6926954783281516785
N/A,Avenue of the Saints / 19624227,0.662,yes,146,no,194463750835231084,6927482548745408879
N/A,Avenue of the Saints / 19624228,1.526,yes,133,no,194432964534294871,2316069209142989231
N/A,Avenue of the Saints / 19705420,0.804,yes,253,no,191048670819996502,-2269954220831522855
